Index,X,Y
0,578,473
1,577,470
2,575,472
3,574,471
4,572,469
5,573,466
6,572,467
7,571,464
8,569,461
9,569,461
10,569,460
11,567,452
12,566,448
13,561,444
14,558,438
15,557,436
16,554,431
17,549,428
18,545,425
19,545,425
20,536,422
21,530,417
22,519,412
23,503,404
24,496,402
25,484,395
26,475,392
27,467,390
28,460,386
29,447,380
30,447,380
31,440,376
32,430,369
33,418,363
34,412,361
35,395,356
36,385,356
37,378,358
38,372,357
39,360,364
40,357,366
41,357,366
42,349,371
43,342,376
44,335,382
45,331,386
46,324,391
47,320,395
48,320,395
49,320,396
50,319,398
51,319,398
52,321,401
53,420,401
54,420,406
55,390,411
56,381,413
57,349,418
58,341,414
59,328,428
60,322,434
61,332,436
62,317,437
63,321,432
64,326,432
65,333,432
66,359,437
67,356,426
68,367,425
69,383,427
70,397,420
71,413,411
72,452,411
73,468,409
74,481,415
75,496,421
76,505,431
77,526,435
78,538,447
79,550,462
80,556,488
81,572,495
82,583,515
83,596,542
84,609,545
85,624,553
86,632,561
87,643,557
88,660,540
89,670,528
90,674,521
91,682,500
92,678,492
93,685,464
94,682,439
95,665,423
96,668,398
97,651,386
98,646,358
99,634,344
100,621,331
101,608,316
102,594,308
103,582,298
104,571,291
105,554,289
106,550,281
107,540,284
108,517,300
109,511,310
110,500,325
111,496,342
112,498,359
113,499,378
114,498,402
115,505,420
116,509,444
117,520,458
118,532,472
119,545,482
120,560,489
121,564,501
122,582,501
123,613,484
124,629,477
125,634,483
126,657,465
127,670,448
128,679,438
129,687,422
130,681,413
131,697,387
132,698,370
133,697,352
134,690,342
135,682,333
136,676,328
137,670,323
138,645,339
139,638,347
140,630,354
141,621,363
142,610,373
143,610,373
144,601,379
145,599,377
146,595,379
147,587,383
148,587,383
149,588,380
150,574,391
151,571,394
152,572,392
153,567,400
154,559,415
155,556,425
156,555,437
157,555,451
158,562,458
159,562,458
160,565,477
161,572,487
162,585,504
163,594,500
164,598,501
165,603,495
166,605,490
167,610,477
168,610,471
169,604,469
170,604,469
171,606,464
172,604,461
173,596,464
174,589,471
175,586,476
176,581,483
177,581,485
178,580,488
179,577,493
180,577,493
181,573,501
182,573,509
183,573,520
184,572,541
185,570,581
186,568,650
187,566,688
